id,title,region,full_address,email,phone,about
359,Foodies,Northwest,"351 N 78th St, Omaha, NE 68114",foodiesomaha@gmail.com,(402) 884-2880,"Foodies is all about fresh food fast. Offering soups, sandwiches, and treats with a variety of gluten-free and vegan options."
360,Freezing Moo,Central,"7530 Dodge St, Omaha, NE 68114",,(531) 466-2708,COMING SOON Enjoy Thai rolled ice cream. Features a wide variety of base flavors with add-ins.
361,Freezing Thai Rolled Ice Cream,Central,"1918 S 67th St, Omaha, NE 68106",,(402) 558-8686,
362,Freshii,Central,"6750 Mercy Rd, #5, Omaha, NE 68106",aksarbenvillage@freshii.com,(402) 973-1166,"Dedicated to making healthy food choices affordable to everyone, Freshii makes healthy food convenient. Enjoy fresh and nutritious meal choices that keep you energized during your Omaha weekend."
363,Fuzzy's Taco Shop,Southwest,"17305 Davenport St, Suite 105, Omaha, NE 68118",,(402) 763-2220,"Fuzzy's Taco Shop is all about fresh flavors, fast! Stop by and have a frozen margarita and chill."
364,Fú Asian Grill,Downtown / Old Market,"343 N 24th St, Omaha, NE 68102",fuasiangrill@gmail.com,(402) 206-5120,"Healthy, affordable, authentic Asian cuisine with vegan options. Enjoy handmade crab Rangoon, spring rolls and more conveniently located near Creighton University and Joslyn Art Museum."
365,Gate 10 Bar & Grill,Downtown / Old Market,"414 S 10th St, Omaha, NE 68102",gate10barandgrill@gmail.com,(402) 359-1290,A Greek-inspired bar & grill serving up melting pot cuisine and drinks.
366,Gather in Omaha,Downtown / Old Market,"1108 Howard St, Omaha, NE 68102",info@gather-omaha.com,(701) 290-9792,"Gather in Omaha is an epic dining experience. Once inside our historic urban-chic setting, modern eclectic American cuisine awaits as our chefs prepare savory meat, fresh fish, salads, and innovative dishes. Guests can enjoy artisan-inspired drinks on our outdoor patios or at our craftsman-style bar, right in the heart of the historic Old Market. Gather in Omaha is the first and only restaurant in town to offer an on-site hydroponic vertical urban farm with fresh produce, greens, and herbs, all hand-picked daily by our culinary team and used in our dishes and drinks. The freshest Farm-to-Table!  Our chefs are always looking for new and inventive ways to enhance the dining experience for everyone. Make sure not to miss our famous pork buns and crispy Brussels! We’re committed to creating masterpieces that you will crave."
367,Geno's Bar & Grill,Northwest,"3821 N 167th Ct, Omaha, NE 68116",,(402) 505-8085,"Geno's Neighborhood Bar & Grill is the place to meet with friends, relax, watch the game or just grab a bite to eat. You will find delicious food, a full bar, keno, darts, foosball and much more."
368,Get N' Go Fish,North Omaha,"1706 N 24th St, Omaha, NE 68110",customerservice@getngo.com,(402) 342-4362,Serving up fresh and fast fried seafood at affordable prices.
369,Goldberg's Bar and Grill,Southwest,"2936 S 132nd St, Omaha, NE 68144",,(402) 333-1086,"Stop by this local bar and grill and enjoy a classic all-American hamburger or the king of Omaha sandwiches, the Reuben."
370,Goldeez,Northwest,"5502 N 103rd St, Omaha, NE 68134",,(402) 964-7494,Sing the night away (and eat and drink) at Goldeez.
371,Good Evans,Southwest,"1040 S 74th Plz, Omaha, NE 68114",,(402) 999-7398,Good Evans offers an elevated menu to the traditional breakfast and lunch offerings. The coffee used is roasted in-house to keep things fresh. They provide unique and ever-changing bean blends for their customers using beans from all over the world.
372,Good Lookin',Central,"4919 Underwood Ave, Omaha, NE 68132",goodlookinoma@gmail.com,(402) 590-2111,"A breakfast and lunch cafe serving a mix of elevated midwestern favorites, creative healthy options, house made pastries, and coffee."
373,Goose 120,Northwest,"12051 Blondo St, Omaha, NE 68164",,(402) 763-6513,"Goose 120 is a celebration of Italian dishes, sauces and pasta styles."
374,Graley's Creamery & Confections,South of Metro,"147 N Washington St, Papillion, NE 68046",info@graleyscreamery.com,(402) 502-9897,"Victorian ice cream parlor serving up a variety of ice cream flavors and sorbets at any given time, from Lavender Honey and Café Oreo to Ooey Gooey Butter Cake and Summer Peach. Tip: Don't just try one flavor, enjoy an ice cream flight with seven flavor options."
375,Grand Patisserie,Southwest,"14451 West Center Rd, Omaha, NE 68144",,(402) 509-9233,"Grand Patisserie in Omaha brings fine French patisseries and mille-feuilles to Nebraska. Indulge in cakes, croissants, macarons, baklava, fruit tarts, and so much more."
376,Green Beans Coffee Omaha,Southwest,"6831 S 167th St, Omaha, NE 68135",greenbeanscoffeeomaha@gmail.com,(402) 934-8589,A family and veteran led cozy cafe serving fresh breakfast and lunch fare. Start your day off right with fresh-baked goods in a Seattle-style coffeehouse known by our armed forces worldwide.
377,Habitat Restaurant and Bar,Downtown / Old Market,"203 S 18th St, Omaha, NE 68102",,(402) 205-2256,"Enjoy seasonal, contemporary cuisine that is focused on flavor. Located in the lobby of The Peregrine Hotel, Habitat Restaurant and Bar offers a unique experience for dining, meeting and just relaxing."
378,Hacienda Real,Northwest,"410 N 78th St, Omaha, NE 68114",,(531) 721-2779,Hacienda Real is a family restaurant specializing in home-made authentic Mexican fare.
379,Hail Varsity Club,South of Metro,"12744 Westport Pkwy #1A, Omaha, NE 68138",info@hailvarsityclub.com,(402) 513-9773,"Head to Hail Varsity Club for a unique sports bar, restaurant, and entertainment experience. Come for the energetic environment and stay for its elevated pub fare and craft spirits. Plus, there's always something going on, from televised sports and live music to unique classes and events."
380,Hardy Coffee Co. - Benson,Central,"6051 Maple St, Omaha, NE 68104",,(402) 916-4190,At Hardy Coffee Co. we serve locally roasted coffee and our baked goods are made for you fresh daily.
381,Hardy Coffee Co. - Highlander,North Omaha,"2112 N 30th St, Omaha, NE 68111",,(402) 505-9685,At Hardy Coffee Co. we serve locally roasted coffee and our baked goods are made for you fresh daily.
382,Harold's Koffee House,Northeast  / Airport,"8327 N 30th St, Omaha, NE 68112",,(402) 451-9776,"Harold's is your neighborhood cafe with a small-town feel. Choose from a wide variety of classic favorites made from scratch daily.  From hash browns to hand-pattied burgers to breaded pork tenderloins - enjoy everything cooked to order and served with a smile!  We also specialize in homemade pies, rolls and donuts."
383,Hay Jay Coffee,Midtown,"1416 N Saddlecreek Rd, Omaha, NE 68132",hayjaycoffee@gmail.com,(402) 609-7408,"A local coffeehouse offering locally roasted coffee from Hardy Coffee, delicious treats from Sweet Magnolias, and teas from the Tea Smith. Stop by and pick up some delicious locally baked treats to go along with your coffee, latte, espresso, mocha or tea."
384,Hay Jay Coffee,Midtown,"1416 N Saddlecreek Rd, Omaha, NE 68132",hayjaycoffee@gmail.com,(402) 609-7408,"Family-owned and operated, Hay Jay Coffee features roasted coffee from Hardy Coffee Co., a local Omaha roaster, and special treats from Sweet Magnolia's bakery. We bring you coffee and food that reflects the freshness and pride of our local area. Stop by and see us soon!"
385,Heirloom Fine Foods Market & Cafe,Downtown / Old Market,"1210 Nicholas St, Omaha, NE 68102",BOOKNOW@HeirloomFF.com,(531) 283-5455,"This cozy cafe serves scratch-made soup, salads, sandwiches, couscous and pasta bowls."
386,Helados Locos,Southwest,"17330 W Center Rd, Omaha, NE 68130",hello@heladoslocos.com,(531) 867-3238,"Helados Locos (""crazy ice cream"") is a place where families come to chill, laugh, and stay cool while enjoying a cool sweet treat. Choose your scoops, choose your flavors and add your toppings for a totally customized dessert. Fresh fruit with chamoy and tajin, nachos and walking tacos are also on the menu."
387,Herbe Sainte,Central,"1934 S 67th St, Omaha, NE 68106",,(402) 913-2396,"Check out this New Orleans inspired cocktail bar and restaurant in Aksarben Village. Savory NOLA dishes and authentic cocktails promise a satisfying visit. Try the crawfish cheesecake, Etouffee or cornbread and sausage!"
388,Hip Bao,Southwest,"3044 S 84th St Suite 3, Omaha, NE 68124",,(402) 614-8850,"Sample a variety of handmade traditional steamed hot Asian buns filled with savory meats and veggies. Other Asian-inspired favorites include noodles, potstickers and soups."
389,Hiro 88 - Millard,Southwest,"17664 Welch Plz, Omaha, NE 68135",,(402) 507-4687,"Featuring an Asian-fusion menu with dishes from China, Japan, & Korea with a HIRO twist, and award-winning sushi menu including premium-grade sashimi, nigiri, & 40+ makimono rolls."
390,Hog Wild Pit BBQ,Southwest,"4950 S 108 St, Omaha, NE 68137",,(402) 991-4227,"We're slinging all your BBQ favorites like juicy beef brisket, tender pulled pork, melt in your mouth ribs, spicy hot links and more."
391,Hog Wild Pit BBQ - Saddlecreek,Southwest,"346 N Saddle Creek Rd, Omaha, NE 68131",,(402) 933-4311,"We're slinging all your BBQ favorites like juicy beef brisket, tender pulled pork, melt in your mouth ribs, spicy hot links and more."
392,Hokkaido Ramen House,Central,"1303 S 72nd St., Suite 101, Omaha, NE 68106",ramenomaha1@gmail.com,(402) 884-4097,Big bowls of ramen with rich pork or chicken broth served in a fun atmosphere in a convenient central Omaha location.
393,Homestyle Cafe,Northwest,"2822 N 88th St, Omaha, NE 68134",omahahomestylecafe@gmail.com,(402) 934-8589,"The Homestyle Cafe is a hidden gem in northwest Omaha. Serving up homemade breakfast, brunch and lunch in a friendly, comfortable atmosphere."
394,Hook & Lime,Downtown / Old Market,"735 N 14th St, Omaha, NE 68102",robbie@hookandlime.com,(402) 933-4222,"Located in Omaha's North Downtown Entertainment District, Hook & Lime serves up an array of tacos made with fresh ingredients. Create your own tequila tasting with a variety of options."
395,Howard Street Wine Merchant,Downtown / Old Market,"1013 Howard St, Omaha, NE 68102",info@howardstreetwine.com,(402) 504-4021,"Owned by James Beard Award semi-finalist and nationally-known chef Paul Kulik, HSWM is dedicated to the story of wine. Valuing wine by craftsmanship, expression, and integrity, HSWM offers a unique vino experience for every guest."
396,HuHot Mongolian Grill - N 120th,Northwest,"2101 N 120th St, Omaha, NE 68164",omaha1@huhot.com,(402) 498-8890,HuHot Mongolian Grill is a customizable Asian restaurant experience. Create your own unlimited stir fry!
397,HuHot Mongolian Grill - W Center,Southwest,"17660 Wright St, Omaha, NE 68130",omaha2@huhot.com,(402) 408-3300,HuHot Mongolian Grill is a customizable Asian restaurant experience. Create your own unlimited stir fry!
398,Hurry Bird,Midtown,"33824 Farnam St Suite 120, Omaha, NE 68131",codie@earlybirdbrunch.com,(402) 933-5535,"Attached to the original Early Bird restaurant, Hurry Bird serves “brunch to go” with a menu of breakfast and lunch burritos, French toast sticks, chicken sandwiches and entrees, and more."
399,Hydes Slydes Burgers & Fries,Central,"3505 s 42nd St, INSIDE THE GROVER INN, Omaha, NE 68105",Management@hydesslydes.com,(402) 905-7927,"Hydes Slydes is a burger joint specializing in craft burgers. They are a scratch kitchen focusing on every step of the burger. Their burgers are topped with everything from Strawberry Aoili to just your classic burger toppings. The show stopper is the loaded fries! Our fry options a diverse and ready for any pallet, from Bahn MI to French Dip Mac & Cheese fries! They focus on a smaller menu to give out more than fair prices with flavors for everyone!"
400,Ika Ramen and Izakaya,Central,"6109 Maple St, Omaha, NE 68104",,(402) 558-2482,"Flavorful, delicious Ramen in a hip atmosphere. Enjoy the unique menu as gangsta rap pumps through the speakers. After dinner, head downstairs to the intimate speakeasy serving up strong craft cocktails."
401,Ika San Ramen,Downtown / Old Market,"1114 Jones st, Omaha, NE 68104",,(402) 320-6935,"Located in the downtown area, IkaSan Ramen serves flavorful, delicious Ramen in a hip atmosphere."
402,Indian Bistro,Downtown / Old Market,"1010 Howard St, Suite A, Omaha, NE 68102",,(402) 884-5977,Delicious Indian cuisine in the heart of Omaha's Old Market Entertainment District.
403,Infusion Brewing Co. Production Brewery & Taproom,Southwest,"6271 S 118th St, Omaha, NE 68137",,(402) 934-2064,Another chance to enjoy Omaha's craft brew scene. Enjoy more of Infusion's signature brew in a casual atmosphere. Food trucks on site during the weekends.
404,Inkwell,Southwest,"8716 Pacific St, Omaha, NE 68114",,(402) 885-9305,A literary-themed cocktail bar made for friends and conversation.
405,Inner Rail Food Hall,Central,"1911 South 67th St, Omaha, NE 68106",,(531) 466-7484,"Check out this unique and intimate food experience. Located in the Aksarben Village entertainment district, Inner Rail Food Hall offers indoor and outdoor spaces for dining. Local flavor spots include The Backstretch Bar, Kathmandu Momo Station, Nori, Pops, Smash, Sweet Treats, Willie Dogs, and Zaytuna."
406,Isla Del Mar Restaurante,South Omaha,"3034 S 20th St, Omaha, NE 68108",,(402) 213-5723,
407,Ital Vital Living,North Omaha,"2323 North 24th St, Omaha, NE 68110",imanimrr28@gmail.com,(402) 681-6777,Ital Vital Living is a cold pressed juice and smoothie bar located in the heart of North Omaha providing healthy affordable options for those who want to put their health first.
408,J. Gilbert's Wood-Fired Steaks & Seafood,Downtown / Old Market,"1010 Capitol Ave, Omaha, NE 68102",,(531) 222-9218,"J. Gilbert’s Wood-Fired Steaks & Seafood is a modern upscale restaurant known for its stellar service, cozy bar scene, quality cuts of beef and exceptional seafood preparations. Our wood-fired grill lends unrivaled flavor, for an authentic steakhouse experience in a luxe, yet warm atmosphere. And true to our Midwestern values, dishes always include the sides."
409,Jack Binion's Steak House,Council Bluffs,"2701 23rd Ave, Council Bluffs, IA 51501",,(712) 396-3806,Serious steak lovers will enjoy a fine dining experience with the finest cuts of aged USDA prime steaks and fresh seafood.
410,Jams - Legacy,Southwest,"17069 Wright Plz Suite 100, Omaha, NE 68130",legacy@jamseats.com,(402) 810-9600,"Located in the beautiful Shops of Legacy, Jams brings unique American flavor to hungry diners. Savor fan favorites including rib tacos, coconut chicken salad, and more."
411,Jams - Old Market,Downtown / Old Market,"1101 Harney St, Omaha, NE 68102",oldmarket@jamseats.com,(402) 614-9333,"Jams, an Omaha restaurant legacy, is an American Grill that offers a melting pot of different styles and varieties of food dishes containing high-quality ingredients paired with the optional cold drink or creative cocktail."
412,Jason's Deli,Southwest,"12320 L St, Omaha, NE 68137",,(402) 932-5544,"Enjoy the fresh, natural ingredients of Jason's Deli. Your favorite comfort food with a healthy twist - from the first first major restaurant concept to ban artificial trans fats in the U.S. and also the first to eliminate high fructose corn syrup."
413,Jason's Deli - Dodge St,Midtown,"7010 Dodge St, #101, Omaha, NE 68132",,(402) 551-2233,"Enjoy the fresh, natural ingredients of Jason's Deli.  Your favorite comfort food with a healthy twist - from the first first major restaurant concept to ban artificial trans fats in the U.S. and also the first to eliminate high fructose corn syrup."
414,Jimi D's Food & Spirits,Central,"6303 Center St, Omaha, NE 68106",,(402) 391-2011,"Jimi D's is not just a bar, not just a restaurant, but truly a unique experience. Jimi D’s strives to use the freshest, highest quality, made-from-scratch ingredients. Stop in to eat and feel like a local."
415,Johnny Ricco's Brooklyn Pizza,Default Region,"Follow on Facebook for Location, Omaha, NE 68122",,(704) 807-6836,Offering Brooklyn style pizza throughout the metro area. Check our Facebook page for daily locations.
416,JoJo's Diner - Benson,Central,"6118 Military Ave, Omaha, NE 68104",,(402) 506-6670,"Benson's swanky late-night diner serves up high-end comfort food all day, everyday."
417,JoJo's Diner - West,Northwest,"13110 Birch Dr Suite 10, Omaha, NE 68164",,(402) 506-6883,"A retro-style diner serving up big hearty meals all day, every day."
418,Jonesy's Taco House,Central,"1502 S 60th St, Omaha, NE 68106",,(402) 551-6088,There's always something to taco-bout when it comes to Jonesy's Taco House. Jonesy's prides itself on using fresh ingredients - even grating their own cheese. Enjoy traditional Mexican fare and casual American eats.
419,Juice Stop - Aksarben,Central,"2119 S 67th St, Omaha, NE 68106",,(402) 934-3870,"Omaha's original smoothie hot spot. Made with 100% real fruit, these smoothies promote a healthy lifestyle."
420,Juice Stop - Downtown,Downtown / Old Market,"510 S 12th St, Omaha, NE 68102",,(402) 715-4326,"Omaha's original smoothie hot spot. Made with 100% real fruit, these smoothies promote a healthy lifestyle."
421,Juice Stop - Eagle Run,Northwest,"3693 N 129th St, Omaha, NE 68164",,(402) 496-7318,"Omaha's original smoothie hot spot. Made with 100% real fruit, these smoothies promote a healthy lifestyle."
422,Juice Stop - Lakeside Plaza,Southwest,"2506 S 171st Ct, Omaha, NE 68130",,(402) 934-3949,"Omaha's original smoothie hot spot. Made with 100% real fruit, these smoothies promote a healthy lifestyle."
423,Jukes Ale Works,Northwest,"20560 Elkhorn Dr, Elkhorn, NE 68022",dreyahb@jukesaleworks.com,(402) 779-8496,Jukes Ale Works is a craft brewery serving high-quality pub food. The 19 beers on tap include seasonal and specialty concoctions to please every palate.
424,Kamp Blackstone,Midtown,"3618 Farnam St, Omaha, NE 68131",info@kampblackstone.com,,KAMP is an exploration of space dedicated to creating an immersive bar experience surrounded by handcrafted food concepts developed by some of Omaha’s finest.
425,Karma Koffee,Northwest,"587 N 155th Plz, Omaha, NE 68154",barista@karmakoffee.com,(402) 885-8892,"Vibrant local coffee shop serving craft coffee beverages and eats like sandwiches, soups and pastries. Dog-friendly."
426,Kathmandu Momo Station,Midtown,"3924 ½ Farnam St, Omaha, NE 68131",,(402) 457-9766,Enjoy the most popular street food in Nepal. The Himalayan dumplings are filled with meat and Nepali spices. These family recipes come to the Omaha community with a new flavor.
427,Keystone Kafe,Northwest,"7805 Military Ave, Omaha, NE 68134",info@keystonekafe.com,(402) 614-0334,"Keystone Kafe is a neighborhood diner offering home-style breakfast and lunch at affordable prices. Be sure to stop in and enjoy delicious food, friendly service, and a family atmosphere."
428,Keystone Tavern & Grill,Northwest,"7821 Military Ave, Omaha, NE 68134",,(402) 571-9592,"The Keystone Tavern & Grill is a dive bar like no other. Serving up house-smoked meats, burgers, wings and bar grub with a twist, be sure you come hungry."
429,Kinaara Indian Cuisine,Southwest,"120 Regency Pkwy, Omaha, NE 68114",kinaara402@gmail.com,(402) 895-3463,"Kinaara is your go-to place for authentic Indian cuisine. Chef Ashish brings recipes from his home region of Kerala, India, to Omaha at affordable prices."
430,King Kong - 72nd,Central,"5250 S 72nd St, Omaha, NE 68127",,(402) 553-3326,"Big flavor filled burgers, phillies, steaks, gyros and more! Daily weekday specials make King Kong an easy and affordable place to feed the whole family."
431,King Kong - Dodge,Midtown,"4409 Dodge St, Omaha, NE 68131",,(402) 553-3326,"Big flavor filled burgers, phillies, steaks, gyros and more! Daily weekday specials make King Kong an easy and affordable place to feed the whole family."
432,King Kong - South Omaha,South Omaha,"3362 S 13th St, Omaha, NE 68108",,(402) 934-8988,"Big flavor filled burgers, phillies, steaks, gyros and more! Daily weekday specials make King Kong an easy and affordable place to feed the whole family."
433,Kochava Coffee,Downtown / Old Market,"1901 Howard St, Omaha, NE 68102",kochavacoffee@gmail.com,,Kochava Coffee brews rich roasts in downtown Omaha and offers locally made products by women and Black entrepreneurs and food artisans.
434,Koji,Southwest,"8718 Pacific St, Omaha, NE 68114",kojicountryside@gmail.com,(531) 721-2626,"An intimate izakaya style restaurant featuring sushi, yakitori and Japanese inspired small plates."
435,Korea Garden,,"5352 S 72nd St, Ralston, NE 68127",,,Stews and rice dishes emerge sizzling hot from the kitchen. Ample ban chan – small side dishes – provide a diversity of delights. Friendly service adds to the cozy atmosphere thick with mouth-watering spices.
436,Kros Strain Brewing,South of Metro,"10411 Portal Road, Suite 102, La Vista, NE 68128",beer@krosstrainbrewing.com,(402) 779-7990,"Come check out the atmosphere in the funky taproom while enjoying a glass of Fairy Nectar IPA, and get a tour of the brewery."
437,La Casa del Huarache,South Omaha,"4818 Q St, Omaha, NE 68117",contactos@lacasadelhuarache.com,(402) 738-9989,
438,La Casa Pizzaria - Pacific Springs,Southwest,"610 S 168th St, Omaha, NE 68118",lacasapizza.media@gmail.com,(402) 506-6868,"La Casa opened to serve our first pizza in June of 1953. That's more than 60 years of goodness! When you dine in, carry out or even gift one of our pizzas to a friend across the county (yes, we ship frozen pizzas) you can expect the same quality ingredients every time."
439,La Casita,South Omaha,"1328 Park Ave, Omaha, NE 68105",,(402) 637-6991,True Mexican food at great prices with friendly service.
440,La Choza Restaurant,South Omaha,"5133 S 25th St, Omaha, NE 68107",,(402) 733-9554,"Traditional Salvadorean and Mexican food for breakfast, lunch and dinner.  Try the Al Pastor Taco, pork marinated and caramelized in pineapple juices, recently highlighted in the Food Network's 50 States, 50 Tacos."
441,La Guanaca Pupusas Tacos y Mas,Northwest,"7622 Dodge St, Omaha, NE 68114",eastcoasteats@yahoo.com,(402) 502-7892,"Locally owned restaurant serves pupusas, enchiladas, quessadilla, sopapillas and other delights from throughout Central America."
442,La Mesa Mexican Restaurant - Bellevue,South of Metro,"1405 Fort Crook Rd S, Bellevue, NE 68005",info@la-mesa.com,(402) 733-8754,"The original metro area flagship La Mesa location proudly serving the Bellevue area since 1996! This beautiful stand-alone La Mesa location features a large seating area with a courtyard fountain center stage! A large party room, one of the biggest in the area, can handle up to 200 people and includes audio and video equipment. The bar area provides ample seating to enjoy some appetizers and La Mesa’s famous margaritas! An outside patio is the perfect venue to sit and relax during those great summer evenings! The Bellevue location also serves as the hub for La Mesa catering!"
443,La Mesa Mexican Restaurant - Council Bluffs,Council Bluffs,"3036 S Expressway St, Council Bluffs, IA 51501",info@la-mesa.com,(712) 256-2762,"Proudly serving the Council Bluffs and Southwest Iowa area, this stand-alone location is conveniently located right off the Lake Manawa exit. The good sized dining area is spacious and includes the La Mesa signature fountain. The bar area right off the entrance includes both bar and booth seating. Parking is plentiful which makes this La Mesa location a favorite of shoppers in the area looking to satisfy their Mexican food craving! Come see why this La Mesa location has been voted “Best Mexican Restaurant” in Council Bluffs 10 years in a row!"
444,La Mesa Mexican Restaurant - Papillion,South of Metro,"829 Tara Plz, Papillion, NE 68046",info@la-mesa.com,(402) 593-0983,"This La Mesa location is conveniently situated at 84th and Tara Plaza is the perfect setting to serve the many Papillion La Mesa lovers! The neatly arranged bar area includes optional booth seating. The Papillion location is a favorite hangout during Margarita Special Wednesday’s! Recently remodeled and reconfigured, this location now offers patrons a party area to celebrate those special birthdays and events! So next time you are heading down 84th street, pop in and enjoy some authentic Mexican cuisine that’s sure to put a smile on your face!"
445,La Mesa Mexican Restaurant - Southwest,Southwest,"5055 S 155th St, Omaha, NE 68137",info@la-mesa.com,(402) 763-2555,"Beautifully designed in the La Mesa tradition, this stand-alone restaurant is ideally located to serve Southwest Omaha customers! The second largest La Mesa location (next to Bellevue) offers a spacious and colorful atmosphere. The bar area is sectioned off from the dining area and includes both bar and booth seating. Situated in a high traffic area, this La Mesa location can handle large lunch crowds without waiting making it a favorite of the many nearby businesses! There’s even outside seating to kick back and relax!"
446,La Mesa Mexican Restaurant - West Maple,Northwest,"15825 W Maple Rd, Suite 102, Omaha, NE 68116",info@la-mesa.com,(402) 557-6130,"The newest La Mesa location in West Omaha on West Maple Road combines the traditional La Mesa Mexican Restaurant look with more contemporary styles. This restaurant has a cozy dining room, a beautiful north-facing outdoor patio for relaxing on warm summer evenings, and a spacious bar area that’s perfect for happy hour hangouts!"
447,Laka Lono Rum Club,Downtown / Old Market,"1204 Howard St, Omaha, NE 68102",info@lakalono.com,,"Celebrating all things tiki with craft cocktails and a themed atmosphere. Escape to the Old Market and say cheers to the weekend. To make an appointment today, visit their website."
448,Lalibela Ethiopian Restaurant,Midtown,"4422 Cass St, Omaha, NE 68131",lalibelaethiopiancuisineomaha@gmail.com,(402) 991-5662,"Lalibela Ethiopian Restaurant, in the heart of Midtown Omaha, Nebraska, has the finest Ethiopian Cuisine in the city. Come and experience it today!"
449,Le Peep Restaurant - Aksarben,Central,"6920 Pacific St, Omaha, NE 68108",,(402) 933-2776,"Stop in today for the best breakfast, brunch, and lunch in Omaha!"
450,Le Peep Restaurant - Northwest,Northwest,"2012 N 117th Ave Unit E106, Omaha, NE 68164",,(402) 991-8222,"Stop in today for the best breakfast, brunch, and lunch in Omaha!"
451,Le Peep Restaurant - Southwest,Southwest,"17660 Wright St #20, Omaha, NE 68135",,(402) 934-9914,"Stop in today for the best breakfast, brunch, and lunch in Omaha!"
452,Le Petit Paris,Northwest,"567 N 155th Plz, Omaha, NE 68154",levoltaire@levoltaireomaha.com,(402) 934-7676,"Offering authentic Artisan French breads and pastries,  Le Petit (pe-tee) Paris is your ""little corner of France in West Omaha!"""
453,Le Quartier Baking Co - Dundee,Central,"5026 Underwood Ave, Omaha, NE 68132",,(402) 933-3595,"These expertly crafted artisan breads, desserts, and pastries are prepared fresh every morning by hands classically trained in Paris."
454,Lemon Tree Cafe,Southwest,"7614 Main St,, Ralston, NE 68127",,(531) 772-0709,"Sisters cook up comfort food for breakfast and lunch using family recipes with new twists. From biscuits and gravy and Elvis-inspired pancakes to juicy burgers and hot honey chicken, this cafe's offerings will satisfy your cravings. Its excellent service and welcoming environment will make you feel at home."
455,LET IT FLY Sports Bar,Downtown / Old Market,"1080 Capitol Ave, Omaha, NE 68102",info@letitflyomaha.com,(402) 504-1082,"LET IT FLY Sports Bar Omaha features 12,000 square feet with 400+ seats, two levels, a live podcast studio, expansive patios, and much more. Enjoy food, drink and sports."
456,Lighthouse Bar & Grill,Northwest,"15676 W Maple Rd, Omaha, NE 68116",omahalighthouse@gmail.com,(402) 498-3824,"Omaha's best happy hour! Home of the $3 long island iced teas, food specials every day, and KENO anytime."
457,Lighthouse Bar & Grill - Gretna,South of Metro,"10215 S 168th Ave, Omaha, NE 68136",omahalighthouse@gmail.com,(402) 504-1915,"Omaha's best happy hour! Home of the $3 long island iced teas, food specials every day, and KENO anytime."
458,Lighthouse Bar & Grill - West Center,Southwest,"2505 S 132nd St, Omaha, NE 68144",omahalighthouse@gmail.com,(402) 885-8188,"Omaha's best happy hour! Home of the $3 long island iced teas, food specials every day, and KENO anytime."
459,Lighthouse Pizza,Southwest,"1004 S 74th Plz, Omaha, NE 68114",info@lhpizza.com,(402) 932-6660,"Ridiculously large pizza slices, fries piled high, unique topping creations, fun atmosphere and late night hours."
460,Lincoln's Pub,Council Bluffs,"157 W Broadway, Council Bluffs, IA 51503",,(712) 256-4956,"Relax at Lincoln's Pub, a casual yet sophisticated neighborhood gathering spot. Enjoy delicious food and drink and lively conversations."
461,Lisa’s Radial Cafe,Central,"817 N 40th St, Omaha, NE 68131",,(402) 551-2176,"The signature breakfast dish at Lisa’s Radial Café is ‘The Raft’, hash browns, eggs and biscuits covered in creamy sausage gravy."
462,Lithuanian Bakery & Deli,South Omaha,"5217 S 33rd Ave, Omaha, NE 68107",sikna@aol.com,(402) 733-3076,"The Lithuanian Bakery has been a staple of Omaha for over 40 years. The specialty breads and Lithuanian tortes are produced daily by an experienced staff committed to high quality products and customer satisfaction. The Napoleon torte is a local favorite – 8 wafer layers with butter creams of vanilla and lemon extracts, and the middle layer is laced with a delicate hint of apricot."
463,Little King Deli & Subs - N 114th,Southwest,"330 N 114th St, Omaha, NE 68154",info@littlekingsubs.com,(402) 333-6028,The royalty of subs. Each sandwich is piled high with your favorite fresh ingredients.
464,Little King Deli & Subs - N 90th,Northwest,"5490 N 90th St, Omaha, NE 68134",info@littlekingsubs.com,(402) 571-3655,The royalty of subs. Each sandwich is piled high with your favorite fresh ingredients.
465,Little King Deli & Subs - Q St,Southwest,"14005 Q St, Omaha, NE 68137",info@littlekingsubs.com,(402) 896-6347,The royalty of subs. Each sandwich is piled high with your favorite fresh ingredients.
466,Little King Deli & Subs - S 108th,Southwest,"5055 S 108th St, Omaha, NE 68137",,(402) 408-0473,The royalty of subs. Each sandwich is piled high with your favorite fresh ingredients.
467,Little King Deli and Subs - Downtown,Downtown / Old Market,"508 S 12th St, Omaha, NE 68102",LK1002@littlekingsubs.com,(402) 344-2264,The royalty of subs. Each sandwich is piled high with your favorite fresh ingredients.
468,"LOCAL Beer, Patio & Kitchen - Village Pointe",Southwest,"17304 Davenport St #104, Omaha, NE 68118",info@localbeer.co,(402) 401-6988,"LOCAL Beer, Patio and Kitchen is a bar with fine food and the largest selection of local craft beers in the area. Get ready for a welcoming environment with some familiar games, a beautiful patio, delicious food and local brews."
469,Lola's,Central,"4952 Dodge St, Film Streams Dundee, Omaha, NE 68132",catering@lolasomaha.com,(402) 850-7585,"Lola’s serves house-made organic bread, fresh salads, sandwiches, espresso, wine and cocktails. This cozy eatery is attached to Film Streams at Dundee."
470,Lola's,Central,"4952 Dodge St, Film Streams Dundee, Omaha, NE 68132",catering@lolasomaha.com,(402) 850-7585,Lola's is a Mediterranean-inspired restaurant and wine bar. Serving farm-to-table food by candlelight every night in Dundee and brunch on the weekends.
